dsid,regime,n,trial,n_components,wbic,fe,chains,draws,tune,mean_divergences,total_divergences,max_divergences,divergences_per_chain,chain_tree_depth
regular,50,50,0,3,168.43220597263996,170.39122060239978,1,1000,2500,0.0,0,0,[0],8
e-singular,50,50,0,3,161.65884370958477,163.21622800508032,1,1000,2500,0.0,0,0,[0],9
singular1,50,50,0,3,145.44905608141917,147.06456796885945,1,1000,2500,0.0,0,0,[0],9
singular2,50,50,0,3,155.34018038467028,156.6753969866701,1,1000,2500,0.0,0,0,[0],9
regular,250,250,0,3,844.0421121031736,846.2556234758077,1,1000,2500,0.0,0,0,[0],9
e-singular,250,250,0,3,824.4005493043337,825.8196469868751,1,1000,2500,0.0,0,0,[0],8
singular1,250,250,0,3,695.5964131477382,698.2089652499419,1,1000,2500,0.0,0,0,[0],9
singular2,250,250,0,3,757.5086563935466,759.6795643067952,1,1000,2500,0.0,0,0,[0],9
regular,5000,5000,0,3,16474.89355066101,16475.56295189171,1,1000,2500,0.0,0,0,[0],10
e-singular,5000,5000,0,3,16123.654073865646,16123.296059774497,1,1000,2500,0.0,0,0,[0],9
singular1,5000,5000,0,3,13387.80906900016,13388.313390851197,1,1000,2500,0.0,0,0,[0],10
singular2,5000,5000,0,3,14851.982645915017,14854.273841844919,1,1000,2500,0.0,0,0,[0],9
regular,50,50,1,3,164.69735852107755,166.65512539232594,1,1000,2500,0.0,0,0,[0],8
e-singular,50,50,1,3,163.1126477440469,164.69646399100372,1,1000,2500,0.0,0,0,[0],8
singular1,50,50,1,3,142.34435163122401,144.3066893454223,1,1000,2500,0.0,0,0,[0],9
singular2,50,50,1,3,154.186214319067,155.47150111046443,1,1000,2500,0.0,0,0,[0],9
regular,250,250,1,3,837.3943784376276,839.3533694726787,1,1000,2500,0.0,0,0,[0],9
e-singular,250,250,1,3,801.6851609694506,802.1734555449971,1,1000,2500,0.0,0,0,[0],9
singular1,250,250,1,3,658.7957906826549,659.9922765918814,1,1000,2500,0.0,0,0,[0],9
singular2,250,250,1,3,742.2078798630378,744.5247739055561,1,1000,2500,0.0,0,0,[0],9
regular,5000,5000,1,3,16542.13322724048,16543.038579264547,1,1000,2500,0.0,0,0,[0],10
e-singular,5000,5000,1,3,16048.969981377206,16049.63159788645,1,1000,2500,0.0,0,0,[0],10
singular1,5000,5000,1,3,13453.497110098582,13455.308930560552,1,1000,2500,0.0,0,0,[0],10
singular2,5000,5000,1,3,14911.37146560912,14912.700962589819,1,1000,2500,0.0,0,0,[0],10
regular,50,50,2,3,171.90093971441817,173.76307616416085,1,1000,2500,0.0,0,0,[0],8
e-singular,50,50,2,3,167.24763521024659,168.5955036225821,1,1000,2500,0.0,0,0,[0],8
singular1,50,50,2,3,136.97842674291115,138.1652967579638,1,1000,2500,0.0,0,0,[0],9
singular2,50,50,2,3,153.19878357238136,154.59101457666713,1,1000,2500,0.0,0,0,[0],9
