dsid,regime,n,trial,wbic,fe,chains,draws,tune,mean_divergences,total_divergences,max_divergences,divergences_per_chain,chain_tree_depth
regular,50,50,0,166.973537689389,169.48080790804173,1,1000,2500,0.0,0,0,[0],5
e-singular,50,50,0,160.85950421116772,162.2145511248417,1,1000,2500,0.0,0,0,[0],7
singular1,50,50,0,143.92615001423195,145.52063476484375,1,1000,2500,0.0,0,0,[0],8
singular2,50,50,0,153.82849266196456,155.2229494853381,1,1000,2500,0.0,0,0,[0],8
regular,250,250,0,842.3892164882936,844.9132884374078,1,1000,2500,0.0,0,0,[0],5
e-singular,250,250,0,824.3284848398267,825.1767432376465,1,1000,2500,0.0,0,0,[0],6
singular1,250,250,0,694.3114542254433,696.2038536322572,1,1000,2500,0.0,0,0,[0],9
singular2,250,250,0,755.5156226129592,757.5390165075349,1,1000,2500,0.0,0,0,[0],8
regular,5000,5000,0,16471.336897896337,16472.608982080612,1,1000,2500,0.0,0,0,[0],5
e-singular,5000,5000,0,16123.38487194247,16122.833402027556,1,1000,2500,0.0,0,0,[0],5
singular1,5000,5000,0,13384.040852094158,13384.58502361115,1,1000,2500,0.0,0,0,[0],10
singular2,5000,5000,0,14848.079495198876,14850.564200640052,1,1000,2500,0.0,0,0,[0],10
regular,50,50,1,162.40852888005597,165.60029815248626,1,1000,2500,0.0,0,0,[0],5
e-singular,50,50,1,162.1896410096871,163.80035845914114,1,1000,2500,0.0,0,0,[0],7
singular1,50,50,1,140.76827492322585,142.6793820963221,1,1000,2500,0.0,0,0,[0],8
singular2,50,50,1,151.64868846892088,153.8065813793647,1,1000,2500,0.0,0,0,[0],8
regular,250,250,1,835.3433437553914,837.9522995007641,1,1000,2500,0.0,0,0,[0],5
e-singular,250,250,1,800.8973728666591,801.0473862059679,1,1000,2500,0.0,0,0,[0],6
singular1,250,250,1,656.1969104840243,656.9226659036667,1,1000,2500,0.0,0,0,[0],9
singular2,250,250,1,739.9762687915845,741.8621696741341,1,1000,2500,0.0,0,0,[0],9
regular,5000,5000,1,16539.980071453254,16540.644179516938,1,1000,2500,0.0,0,0,[0],5
e-singular,5000,5000,1,16048.105031780431,16048.108010584943,1,1000,2500,0.0,0,0,[0],6
singular1,5000,5000,1,13451.748924571526,13451.520435708502,1,1000,2500,0.0,0,0,[0],10
singular2,5000,5000,1,14908.52382993214,14909.163342404105,1,1000,2500,0.0,0,0,[0],8
regular,50,50,2,170.65739021027355,172.95604998729902,1,1000,2500,0.0,0,0,[0],5
e-singular,50,50,2,165.7825632743639,167.82773313126478,1,1000,2500,0.0,0,0,[0],7
singular1,50,50,2,134.34624416138138,136.1582003515018,1,1000,2500,0.0,0,0,[0],8
singular2,50,50,2,151.19174923957334,152.95953660346288,1,1000,2500,0.0,0,0,[0],8
regular,250,250,2,848.4671040497177,851.2109593668382,1,1000,2500,0.0,0,0,[0],5
e-singular,250,250,2,809.1098256853289,809.3671654402478,1,1000,2500,0.0,0,0,[0],7
singular1,250,250,2,665.8391872936064,667.882250755015,1,1000,2500,0.0,0,0,[0],9
singular2,250,250,2,757.3375924476952,759.1621173266648,1,1000,2500,0.0,0,0,[0],9
regular,5000,5000,2,16496.25924156467,16496.76700708165,1,1000,2500,0.0,0,0,[0],5
e-singular,5000,5000,2,16081.73666354656,16081.228838528885,1,1000,2500,0.0,0,0,[0],6
singular1,5000,5000,2,13439.013311333369,13440.669017278144,1,1000,2500,0.0,0,0,[0],10
singular2,5000,5000,2,14949.499901944924,14950.986650095903,1,1000,2500,0.0,0,0,[0],9
regular,50,50,3,170.50604821997848,173.0908987991797,1,1000,2500,0.0,0,0,[0],5
e-singular,50,50,3,169.06969275753573,171.05946360706736,1,1000,2500,0.0,0,0,[0],6
singular1,50,50,3,143.74334475516736,145.98594833929755,1,1000,2500,0.0,0,0,[0],9
singular2,50,50,3,151.83073343584357,153.30090849401677,1,1000,2500,0.0,0,0,[0],8
