ctrial,ge,cn,cchain_size,cname
1,0.119776699332901,10,6000,Gn
1,0.0188346470944929,100,6000,Gn
1,0.000685249678659128,250,6000,Gn
1,0.000812293086688953,1000,6000,Gn
1,1.43862405817203,10,6000,Tn
1,1.33196932609797,100,6000,Tn
1,1.42601441642554,250,6000,Tn
1,1.44063190389521,1000,6000,Tn
2,0.111285423842765,10,6000,Gn
2,0.000848142619834125,100,6000,Gn
2,0.00389501785144941,250,6000,Gn
2,-4.1068800979982e-06,1000,6000,Gn
2,1.31009362975021,10,6000,Tn
2,1.37021781646062,100,6000,Tn
2,1.44723610814192,250,6000,Tn
2,1.40583198852026,1000,6000,Tn
3,0.0375626446806243,10,6000,Gn
3,0.00329116870151869,100,6000,Gn
3,0.00144433661932597,250,6000,Gn
3,0.00344439597021506,1000,6000,Gn
3,1.53421892563707,10,6000,Tn
3,1.41193029852269,100,6000,Tn
3,1.40952580394106,250,6000,Tn
3,1.41177372463129,1000,6000,Tn
4,0.208077330059633,10,6000,Gn
4,0.00435634667841689,100,6000,Gn
4,0.00326160049551394,250,6000,Gn
4,0.000437290350181252,1000,6000,Gn
4,1.229935975575,10,6000,Tn
4,1.47263292983164,100,6000,Tn
4,1.4748305761476,250,6000,Tn
1,1.44534014198982,10,6000,Cn
1,1.33193352530625,100,6000,Cn
