trial,FE,beta,m,n,chain_size,name
1,16.3108351238104,0.434294481903252,0,10,2000,AFE
1,15.5807475438425,0.434294481903252,0,10,2000,WBIC
2,16.3050322471192,0.434294481903252,0,10,2000,AFE
2,15.5198342021158,0.434294481903252,0,10,2000,WBIC
3,16.305443275975,0.434294481903252,0,10,2000,AFE
3,15.4348597627159,0.434294481903252,0,10,2000,WBIC
4,16.304705581526,0.434294481903252,0,10,2000,AFE
4,15.4747279013404,0.434294481903252,0,10,2000,WBIC
5,16.3048932645369,0.434294481903252,0,10,2000,AFE
5,15.509997383658,0.434294481903252,0,10,2000,WBIC
6,17.7357515155663,0.434294481903252,0,10,2000,AFE
6,15.5210334392104,0.434294481903252,0,10,2000,WBIC
7,18.303152851274,0.434294481903252,0,10,2000,AFE
7,15.5015733139167,0.434294481903252,0,10,2000,WBIC
8,16.3073805859234,0.434294481903252,0,10,2000,AFE
8,15.5239177441537,0.434294481903252,0,10,2000,WBIC
9,16.3076897764043,0.434294481903252,0,10,2000,AFE
9,15.5231553105995,0.434294481903252,0,10,2000,WBIC
10,16.3068249405078,0.434294481903252,0,10,2000,AFE
10,15.6495623481958,0.434294481903252,0,10,2000,WBIC
11,16.3059040811518,0.434294481903252,0,10,2000,AFE
11,15.5299547057912,0.434294481903252,0,10,2000,WBIC
12,21.0861141569565,0.434294481903252,0,10,2000,AFE
12,15.4879688562142,0.434294481903252,0,10,2000,WBIC
13,21.6828697625647,0.434294481903252,0,10,2000,AFE
13,15.471732790257,0.434294481903252,0,10,2000,WBIC
14,16.3049102774323,0.434294481903252,0,10,2000,AFE
14,15.5777644303511,0.434294481903252,0,10,2000,WBIC
15,16.3005805779925,0.434294481903252,0,10,2000,AFE
15,15.4613860391668,0.434294481903252,0,10,2000,WBIC
16,16.3114686545932,0.434294481903252,0,10,2000,AFE
16,15.5036221640998,0.434294481903252,0,10,2000,WBIC
17,16.3071548936293,0.434294481903252,0,10,2000,AFE
17,15.5545105736137,0.434294481903252,0,10,2000,WBIC
18,16.3051322335106,0.434294481903252,0,10,2000,AFE
18,15.5818375915302,0.434294481903252,0,10,2000,WBIC
19,16.3059994494919,0.434294481903252,0,10,2000,AFE
19,15.6060269843588,0.434294481903252,0,10,2000,WBIC
20,16.3083599850957,0.434294481903252,0,10,2000,AFE
20,15.5176342449067,0.434294481903252,0,10,2000,WBIC
1,18.3670889870674,0.434294481903252,0,10,4000,AFE
1,15.5384867912664,0.434294481903252,0,10,4000,WBIC
2,16.3060671632122,0.434294481903252,0,10,4000,AFE
2,15.5292344579717,0.434294481903252,0,10,4000,WBIC
3,16.3050710032454,0.434294481903252,0,10,4000,AFE
3,15.5535779570097,0.434294481903252,0,10,4000,WBIC
4,20.3479017514087,0.434294481903252,0,10,4000,AFE
4,15.5144048172656,0.434294481903252,0,10,4000,WBIC
5,17.4943941773599,0.434294481903252,0,10,4000,AFE
5,15.593581246636,0.434294481903252,0,10,4000,WBIC
6,16.3019156380273,0.434294481903252,0,10,4000,AFE
6,15.5243610677454,0.434294481903252,0,10,4000,WBIC
7,19.1138982521169,0.434294481903252,0,10,4000,AFE
7,15.5441008338951,0.434294481903252,0,10,4000,WBIC
8,16.3056903571945,0.434294481903252,0,10,4000,AFE
8,15.5483270888069,0.434294481903252,0,10,4000,WBIC
9,16.3056605729708,0.434294481903252,0,10,4000,AFE
9,15.4961269268275,0.434294481903252,0,10,4000,WBIC
10,16.304970689949,0.434294481903252,0,10,4000,AFE
10,15.5334082287619,0.434294481903252,0,10,4000,WBIC
11,16.3069288442526,0.434294481903252,0,10,4000,AFE
11,15.5172070632234,0.434294481903252,0,10,4000,WBIC
12,16.3285494070109,0.434294481903252,0,10,4000,AFE
12,15.542046348174,0.434294481903252,0,10,4000,WBIC
13,16.2956463202295,0.434294481903252,0,10,4000,AFE
13,15.5304123665755,0.434294481903252,0,10,4000,WBIC
14,16.3066953278772,0.434294481903252,0,10,4000,AFE
14,15.5285385237472,0.434294481903252,0,10,4000,WBIC
15,16.3823130963346,0.434294481903252,0,10,4000,AFE
15,15.538541772881,0.434294481903252,0,10,4000,WBIC
16,16.3095003521301,0.434294481903252,0,10,4000,AFE
16,15.5508573936975,0.434294481903252,0,10,4000,WBIC
17,16.306227417384,0.434294481903252,0,10,4000,AFE
17,15.5337266307863,0.434294481903252,0,10,4000,WBIC
18,16.3063545197113,0.434294481903252,0,10,4000,AFE
18,15.5029295424879,0.434294481903252,0,10,4000,WBIC
