ctrial,cFE,cbeta,cm,cn,cchain_size,cname
1,16.3050322471192,0.434294481903252,-1,10,2000,AFE
2,16.305443275975,0.434294481903252,-1,10,2000,AFE
3,16.304705581526,0.434294481903252,-1,10,2000,AFE
4,16.3048932645369,0.434294481903252,-1,10,2000,AFE
5,17.7357515155663,0.434294481903252,-1,10,2000,AFE
1,15.5015733139167,0.434294481903252,0,10,2000,WBIC
2,15.4884734262888,0.434294481903252,0,10,2000,WBIC
3,15.5790011415733,0.434294481903252,0,10,2000,WBIC
4,15.5334573598029,0.434294481903252,0,10,2000,WBIC
5,15.5070728965903,0.434294481903252,0,10,2000,WBIC
1,21.6828697625647,0.434294481903252,-1,10,4000,AFE
2,16.3051773429752,0.434294481903252,-1,10,4000,AFE
3,16.3077091391927,0.434294481903252,-1,10,4000,AFE
4,16.3068328228401,0.434294481903252,-1,10,4000,AFE
5,16.3067824148381,0.434294481903252,-1,10,4000,AFE
1,15.5342099439465,0.434294481903252,0,10,4000,WBIC
2,15.5468958981801,0.434294481903252,0,10,4000,WBIC
3,15.5398380534027,0.434294481903252,0,10,4000,WBIC
4,15.4899297020752,0.434294481903252,0,10,4000,WBIC
5,15.545203553497,0.434294481903252,0,10,4000,WBIC
1,16.3037670854628,0.434294481903252,-1,10,6000,AFE
2,16.3025277650567,0.434294481903252,-1,10,6000,AFE
3,16.5513443773616,0.434294481903252,-1,10,6000,AFE
4,16.3013979303901,0.434294481903252,-1,10,6000,AFE
5,19.3082786989633,0.434294481903252,-1,10,6000,AFE
1,15.5943377397031,0.434294481903252,0,10,6000,WBIC
2,15.5490901782866,0.434294481903252,0,10,6000,WBIC
6,16.346963966872,0.434294481903252,-1,10,2000,AFE
7,16.3047697457571,0.434294481903252,-1,10,2000,AFE
8,16.3050073111006,0.434294481903252,-1,10,2000,AFE
9,16.3040825971917,0.434294481903252,-1,10,2000,AFE
10,16.4520036257766,0.434294481903252,-1,10,2000,AFE
6,15.6062437852955,0.434294481903252,0,10,2000,WBIC
7,15.5385378619544,0.434294481903252,0,10,2000,WBIC
8,15.5409177440793,0.434294481903252,0,10,2000,WBIC
9,15.5743904122719,0.434294481903252,0,10,2000,WBIC
10,15.5223060257499,0.434294481903252,0,10,2000,WBIC
6,16.3022118814498,0.434294481903252,-1,10,4000,AFE
7,16.338203214659,0.434294481903252,-1,10,4000,AFE
8,16.3060716575415,0.434294481903252,-1,10,4000,AFE
9,16.3089932311889,0.434294481903252,-1,10,4000,AFE
10,26.624568587749,0.434294481903252,-1,10,4000,AFE
6,15.5790999258015,0.434294481903252,0,10,4000,WBIC
7,15.5505667849496,0.434294481903252,0,10,4000,WBIC
8,15.5867860227788,0.434294481903252,0,10,4000,WBIC
9,15.5536793219266,0.434294481903252,0,10,4000,WBIC
10,15.5085739342958,0.434294481903252,0,10,4000,WBIC
6,16.3063217031415,0.434294481903252,-1,10,6000,AFE
7,16.3060674844948,0.434294481903252,-1,10,6000,AFE
8,16.3076225827564,0.434294481903252,-1,10,6000,AFE
9,16.3060014089602,0.434294481903252,-1,10,6000,AFE
10,16.306694146449,0.434294481903252,-1,10,6000,AFE
3,15.59509217746,0.434294481903252,0,10,6000,WBIC
4,15.5142595860079,0.434294481903252,0,10,6000,WBIC
5,15.541408843664,0.434294481903252,0,10,6000,WBIC
6,15.532511901254,0.434294481903252,0,10,6000,WBIC
7,15.5455718573411,0.434294481903252,0,10,6000,WBIC
8,15.5832816205469,0.434294481903252,0,10,6000,WBIC
9,15.5439681803571,0.434294481903252,0,10,6000,WBIC
10,15.5930712220179,0.434294481903252,0,10,6000,WBIC
1,16.304285743396,0.434294481903252,-1,10,10000,AFE
2,16.3091528359134,0.434294481903252,-1,10,10000,AFE
3,16.3063314352178,0.434294481903252,-1,10,10000,AFE
4,18.8813738793552,0.434294481903252,-1,10,10000,AFE
5,17.1227687179052,0.434294481903252,-1,10,10000,AFE
6,17.4339785978366,0.434294481903252,-1,10,10000,AFE
7,16.3043925462765,0.434294481903252,-1,10,10000,AFE
8,16.3083016131752,0.434294481903252,-1,10,10000,AFE
9,16.3086588975701,0.434294481903252,-1,10,10000,AFE
10,16.3047640606896,0.434294481903252,-1,10,10000,AFE
1,15.5407450568756,0.434294481903252,0,10,10000,WBIC
2,15.5457608289263,0.434294481903252,0,10,10000,WBIC
3,15.5388176057926,0.434294481903252,0,10,10000,WBIC
4,15.5484294214533,0.434294481903252,0,10,10000,WBIC
5,15.499086720594,0.434294481903252,0,10,10000,WBIC
6,15.5152290442412,0.434294481903252,0,10,10000,WBIC
7,15.5267622515231,0.434294481903252,0,10,10000,WBIC
8,15.541099241844,0.434294481903252,0,10,10000,WBIC
9,15.5469543232524,0.434294481903252,0,10,10000,WBIC
10,15.5322568715463,0.434294481903252,0,10,10000,WBIC
1,77.6688467237986,0.255622218635331,-1,50,2000,AFE
2,77.6623918545677,0.255622218635331,-1,50,2000,AFE
3,77.6622315744121,0.255622218635331,-1,50,2000,AFE
4,77.6622619693569,0.255622218635331,-1,50,2000,AFE
5,77.6625334485969,0.255622218635331,-1,50,2000,AFE
6,77.6622313237175,0.255622218635331,-1,50,2000,AFE
7,77.6624769984327,0.255622218635331,-1,50,2000,AFE
8,77.662422589104,0.255622218635331,-1,50,2000,AFE
9,77.6624086301129,0.255622218635331,-1,50,2000,AFE
10,83.130657017135,0.255622218635331,-1,50,2000,AFE
1,76.5489589325288,0.255622218635331,0,50,2000,WBIC
2,76.7278769451883,0.255622218635331,0,50,2000,WBIC
3,76.5133277053099,0.255622218635331,0,50,2000,WBIC
